評論者,評分,時間,內容,店家名稱,店家ID
鱷魚,5,8 個月前,"小包廂裝潢可愛精緻，要注意有抵銷喔！
整體單價稍微高了一點點，但食物都在水準之上，選擇也很多樣。布丁屬於比較紮實Q的類型，焦糖偏苦帶一點酒味，整個吃完也不會膩。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Victoria,5,7 個月前,"台北信義【輪輪1976 和食茶酒駅】

只能說酒很厲害的日料店
今天點的酒很妹都很喜歡
炸雞很讚

店家裝潢氣氛很好
(但就是櫻花假假的感覺不擺或是擺真花比較好?)
服務生都很客氣
壽星送千層蛋糕

地點: 台北信義新天地A11-3樓",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Pei_Le,4,5 個月前,"餐點精緻，價格對的起用餐環境、氣氛及餐點。
客人少服務員卻過於忙碌？",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
謝宗穎,5,8 個月前,"《主食》
◼️捲壽司の鮭蜜：$460
◼️金岬の海脆燉：飯$560
◼️蛋蛋醬と厚切豬排三明治：$280
我覺得主食點起來都不錯
但個人最喜歡哪個厚切豬排三明治！！
豬排微厚再塗抹上帶有顆粒的花生醬🤤

《小點心》
◼️炭火西西里豚肉串燒：$220
◼️卡哩炸牛蒡絲/芥末鹽蘑菇：$260
我很喜歡這個小點心！！
牛蒡絲酥脆不油膩很刷嘴之外
炸蘑菇上還有放在芥末粉
吃起來有點微辣配點小酒我很喜歡😍

◼️達克瓦茲*3配白鳳桃綠(冷)：$450
甜點達克瓦茲超驚豔的！
甚至無花果是帶有酒精的
無酒精還有一個是玄米國寶茶
品項很特別又蠻好吃的⋯🤤

- - - - - - - - - - - - - - - - - - - - - - - -
美味指數：8/10
環境優劣：8.9/10
回購意願：8/10",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
張庭瑋,5,8 個月前,大車輪的品牌，環境非常好拍就不用多說了，昭和風很棒，連菜單的設計都很不錯，食物算是可以，最好吃的是炸蝦捲跟土瓶蒸，玉子燒是伯爵茶味的很神奇，比較像甜點，當天我們都喝無酒精，其實都蠻好喝的，整體覺得還不錯，但應該不會吃飽～,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Ying,5,7 個月前,"在A11這很重要‼️因為有點難找😅
從第一道菜到最後都很驚艷好吃😋調酒也好好喝
今天點的是情人節套餐很划算還有葡萄酒讓你帶走
服務也很好👍
很適合來慶祝情人節，原本在唸男友，吃完氣都消了🤣
當月壽星有送一片千層蛋糕🍰",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
另類無情,4,2 個月前,"餐點比較普通，氣氛還不錯。
6大一小吃了1萬多塊。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
香甜小柚子,5,7 個月前,"餐點與裝潢都充滿日本大正時期的浪漫🌹
-
細膩在許多的地方，舉凡餐點食用方式、擺盤、裝飾、裝潢、與服務上。
-
留下了一次相當美好的回憶。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
玟綺,4,10 個月前,"從ig跳出廣告看到，廣告就吸引到我，隔週就訂位，有兩個特別吸引我
1.內部裝潢，裡面分成兩個包廂區跟自由區，我訂的是商務包廂，能坐4～6人，低消3000元，兩個人隨便點都很容易達到。
2.餐點裝盤樣子很特別，生魚片擺的跟下午茶一樣，切功和擺盤感覺花了不少心思；愛吃玉子燒的可以試試他們家，吃起來很像伯爵奶茶甜甜的味道，蠻特別的；握壽司最特別的就是擺在一個火車模型的上面，模型很可愛，壽司也算特別的",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Xiao Min Huang,4,10 個月前,"特色餐點很多樣，容易選擇困難
炸雞、烤串、炸魷魚都很推薦
但是都是單吃很好吃，配上沾醬就還好
茶泡飯也是單吃很讚，茶單喝就好
鰻魚蛋包飯的鰻魚吃起來還是有點土味
但是飯上都有淋上醬汁這點很棒(醬汁略鹹
豬排三明治略普通像是早餐店的東西
明太子洋芋個人覺得融合的不好，美乃滋味道太重，但友人很喜歡
整體服務態度很棒，可能餐盤設計問題，不好擺放到桌上都會有巨大的聲響
是個適合多人聚餐分食的地方",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Austina Lin,5,5 個月前,因為N1要等三小時肚子餓了所以就到這間用餐、運氣好選對了、握壽司好吃、炸魷魚驚喜 綜合燒物也好吃、推～,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
freedom貪吃鬼,5,8 個月前,"超復古洋食列車餐廳♡♡♡
這裡裝潢超美、氛圍超讚❗餐點精緻✨

◾️ 蛋蛋醬と厚切豬排三明治 NT$.280元🔅
必點💯吐司外皮很酥脆😍中間塗上花生醬
夾上超厚的豬排，根本超好吃～～～
可以再淋上蛋蛋醬，層次豐富🥳

◽️️ 大和海老炸卷 NT$.280元🔅
現刨鹹香濃郁起司🧀️海老炸卷外層超級酥
內餡吃得到香甜蝦味，口味還不錯～",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Flying Whale,4,10 個月前,"1. 胡椒生魚、土瓶蒸推，壽司套餐模型有趣，創意料理感受豐富，氛圍佳，約會體驗佳。
2. 包廂低消 半開放式，吵雜聲，烤海苔桌邊服務。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Jack Tsai,4,3 個月前,餐廳裝潢設計有風格，服務餐點佳！,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Zadia Chen,5,1 年前,"服務非常好，Emma態度親切、溫柔有耐心，餐點精緻，下午茶小點份量不多，但口味層次分明，飲品推薦栗子紅茶，可完美綜合味蕾。沙丁魚洋芋沙拉跟醬油米糰子的口味特殊，接受度因人而異，我個人覺得前者極腥、後者鹹甜比例怪異⋯
酥皮湯是海鮮清湯，有別於一般濃湯，推薦給喜歡清爽係湯底的饕客；雞肉串的青醬跟洛神花搭配起來十分完美，讓雞肉串吃起來口味不致過於厚重。鰻魚佐醋的醬汁比例調配也恰到好處，但份量過於單薄。
整體而言是一間服務、情懷滿分的店，餐點價格偏高，性價比不高，但適合小鳥胃跟喜歡復古氛圍的人～下次有路過可能會再來嘗試酒品的部份。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Grace Fu,4,9 個月前,"這裡的調酒很好喝，也很有特色。相較食物就偏稍普通，炸物比較不推薦。
半開放包箱的位子坐起來不大舒服，也不推。有ㄧ點還不錯是用餐時間爲105分鐘，但後面沒有客人的話也不會被趕。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
林憶玫,5,10 個月前,"第一次到訪，兩個禮拜前訂位～
很可惜沒有坐在沙發區，前面也有兩個人坐在沙發區，可能我太晚到了～分配不到！
人不多，氛圍很好！一早來沒有客滿～
餐點好吃，前菜沙拉必點！千尋沙拉！
捲壽司の鮭蜜6貫，好吃～還有酥炸魚皮點綴。
蛋蛋醬と厚切豬排三明治，太乾～花生醬很驚艷！但太濃郁，可以一半塗抹花生醬一半蛋蛋醬！
明太子烘烤洋芋好吃！必點！
大和海老炸卷，我最愛吃！很香～底層還有芋頭片！
白醬烏龍麵⋯千萬不要點！
烏龍麵不到半碗、太多洋蔥跟碎料～口感就是白醬炒麵！

白鳳桃冷綠好喝，玻璃壺還可以帶走～
但我沒拿～
沖繩鳳梨公園無酒精飲品，也不錯！
但建議來這邊還是要點有酒精的！
餐點才不會太膩太鹹！",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
快樂嚕嚕米,5,1 年前,"一間善待本身碰酒就會秒醉但又想偶爾沐浴微暗氣氛的地方，單單在門口看絕對想不到裡面的環境可以這麼驚艷，用火車車廂的包廂形式座落餐廳的兩旁，中間用復古風格桌椅擺設增添不少時代感。

點了一杯含酒精舊古河庭院、無酒精姬路城以及大正町時光布丁（會有加一丁點的酒精增加風味）。

舊古河庭院是咖啡烘焙和伏特加跟檸檬水的組合，先是咖啡甘苦入舌後，伏特加的口感隨之而來，因為有檸檬水的關係，讓酒精味只是微微呈現，變成是酸甜的味道，調酒的層次感滿不錯的，適合希望酒精味淡一點的朋友喝。

姬路城一開始杯緣上會有個蓋子蓋住，沒想太多就掀開來，結果來不及拍到煙霧繚繞的瞬間，有洛神花的點綴，色澤很美，無酒精紅酒的酸感跟水果香的甜味很協調，有一點點像是酒精版的酸梅汁，滿特別的。

大正町時光布丁的左邊小碟子是檸檬冰，右邊的布丁跟上面焦糖都有微微酒香味，不會死甜，口感不是Q嫩的類型，還算好吃。

整體來說，如果是很注重用餐氣氛的話，這邊絕對是口袋名單之一，值得推薦。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Ivy E,5,5 個月前,"在假日下午來的
還有一些空位
店員幫我們推薦了幾道菜我們都有點
推薦的都蠻好吃的
那個鮭魚壽司讓我念念不忘
應該會為了他二訪",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
stark lin (善良),5,11 個月前,"很有特色的餐廳.
人員的服務也很優秀.
餐點更是不在話下！
每一項都好吃.
而且擺盤也有創意！
值得再再再再再訪的好店@",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
花煙,5,8 個月前,價錢加在裝潢上，但餐點沒有馬虎，錢包需要深度。茶乳玉子燒微甜好吃、生魚片和茶泡飯都表現不錯，串燒比較普通,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
楊景棠,4,6 個月前,跟朋友去吃，除了價錢有點高以外，餐點非常好吃，調酒也比信義區的酒吧好喝很多，裝潢氣氛也很用心，很像火車車廂很酷,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Jason,4,10 個月前,"今天8大3小用餐，店內座位舒適寬敞，還有包廂可選，氣氛不錯，整體都是復古列車造型，還有很多鐵道元素，燈光適合喝酒，頗適合小酌，滿多調酒可選，看來很不錯

這次用餐點了北海道奶油啤酒(酒精)、六月盒火車握壽司、奶油香蒜泥櫛瓜、大和海老炸卷、茶碗蒸、白醬烏龍麵，整體都不錯吃。櫛瓜意外有味適合配酒，炸卷皮很特別，海老口感和味道也都不錯，火車壽司都鮮美多汁，吃起來舒服，整體造型也很有意思，鐵道搭配哥吉拉😁😁😁，啤酒滑順好入口，真不錯。

推薦給喜愛日式風的朋友👍👍👍",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Christie Chou,5,1 年前,"裝潢非常美麗，很特別有火車車廂式的包廂。服務人員態度都很好。
餐點都不錯，因為比較晚才吃早餐，所以這次只點了大和海老炸卷280元，卷壽司の鮭蜜兒460元（就是焦糖鮭壽司），大和海龍蝦蝦高湯岩湯飯880元，鮮魷魚七味燒430元當作午餐。每份餐點的擺盤都令人驚豔，隔壁桌的盒火車握壽司也非常吸引眼球。調酒點了熱海360元，可惜紫蘇葉太搶戲，幾乎沒什麼酒精味，感覺比較像是紫蘇口味的飲料。
總的來說，餐點部分是味覺與視覺的一場饗宴。
價格偏中上，如果這種價位可以接受的話推薦來這兒用餐。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
YOKO SHEN,5,8 個月前,"沈浸式火車餐茶酒體驗
大正浪漫的星級列車饗宴
品嚐融合不同文化的美食與茶酒

厚切豬排三明治咬下多汁
配上濃郁花生醬好喜歡

西西里豚肉串燒
第一次吃到有灑上咖啡粉的肉串
加上檸檬片與肉汁平衡無違和🤍

依照日本各地文化提供多款日系茶酒
當日點的酒感不高 都是酸甜好入口👍

最愛抹茶清酒柚子 達克瓦茲
濃厚中帶著柚子的香氣

氛圍感好好是聚會的好地方",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Mathtower (杰森),5,1 週前,鮭蜜超好吃，串燒有點久，但是值得等待。,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
周佳佳,5,2 個月前,火車包廂真的很特別❤️西西里肉串好吃,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
PING TSUI,5,9 個月前,海鮮酪梨塔味道很棒，海龍蝦岩湯飯也好吃。看見菜單上有很多特別的菜品，下次想再來試試其他的餐點。,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Kewei Chiu,4,7 個月前,日本大正時期的五星級列車餐廳，餐點都很不錯，飲品也是，非常好喝，搭配食材讓人放鬆愉悅，近期還會再去😊😊,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
yi hsun liu,5,7 個月前,"視覺饗宴100分
裡面的氣氛非常好
家人很喜歡餐點旁邊的漬物！
雖然價格並不是很平價，但每道菜都有用心之處！呈盤、料理上都很精緻！
酒類的部分也都很有趣，利用日本的各地作為發想～
舊古河：酒體偏重，但口味特別印象深刻
奈良公園：清爽適合夏日喝
東照宮：清爽，有煙霧飄渺得虛華效果，很適合妹子喝",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
"軟西,遊記",5,1 年前,"店內低奢日式復古浪漫用餐環境，將包廂設計成日式火車包廂，很像搭乘日式星級列車用餐，地上延伸台式紅色拼花磁磚，是早期台灣的窗花圖案。燈光採用柔和黃光沉穩低調，光踏入餐廳就掉入時光迴廊，穿越時空來到日本大正時代!

餐點超驚艷，盒火車握壽司服務生會帶著白手套送餐，下方壓克力盒小型場景是純手工製作的微型模型，吃壽司超趣味。

紙火鍋奶油菲力燒是大車輪四十年經典老菜，歷久不衰深受饕客喜愛，融合昭和初年西日合併，牛肉本身很有嚼勁Q度，整鍋散發濃郁菇奶香氣!

大和海龍蝦岩茶湯飯龍蝦與蔬菜熬煮的濃郁高湯，炊煙裊裊伴隨石鍋滾燙熱度，龍蝦鮮彈牙飽滿肥彈超幸福，每吃一口都是海味鮮香爆擊~
.
1976厚茶乳玉子燒加入巧思使用獨家茶葉親手煎製，甘口茶玉子燒滑口澎潤茶香滿溢，好似把一杯經典茶飲做成固體狀!

調酒也融入日本景點發揮創意，有無酒精版本，朋友聚餐可以喝得盡興!",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Sarah wu,1,6 個月前,"食物份量超小，超貴，口味偏台式的日式料理
完全是吃氣氛跟裝潢的餐廳
點了橙汁炸雞 魷魚沙拉 鰻魚蛋包飯
櫛瓜
兩個人吃完2300多
要說哪一道我推 我還真的說不出來
服務也沒有特別驚豔",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
JING LIU,5,1 年前,"調酒日出東照宮很不錯，不愧是招牌！
餐點表現中規中矩，都還不錯。
環境氣氛佳，復古奢華風。
服務人員態度良好，服務周到，會主動幫忙補水。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Fi W,5,10 個月前,"每道菜都蠻有特色的
但建議可以推出套餐組合
比較有趣
熱銷餐點可以做在首頁，讓首次來的客人比較知道怎樣快速找到重點

茶味玉子燒有點把蛋香給蓋掉了
有點可惜組織變的比較粗糙不夠濕潤

來這邊建議點特色調酒
無酒精的蠻好拍😍",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
H.Y Chang,1,1 年前,"2023/12月底用餐。
優點：
餐點漂亮好吃，不過份量不多。
打電話訂位，服務人員很熱心的幫忙安排候補到了想要的時段。
餐廳不會太吵，適合三五好友聚餐。

缺點：
幫長輩慶生，結果長輩的菜很晚才來，擔心長輩停筷已很久，所以想先點甜點讓長輩吃，結果服務人員說用餐時間要到了，不讓我們點，長輩聽到臉都垮了，很貼心的跟我們說沒關係，但那個失望的表情我這輩子都不會忘記，做晚輩的真的當下很想下跪。

菜單排版很亂，看得很辛苦。
包廂座位狹窄，起身要走出座位是無法站直的。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
江秉翰,5,9 個月前,"每道菜都好吃！
不誇張，價位偏高，但是每道餐點都讓人驚艷
吃飽可以直接走到旁邊的Pokemon Center逛逛XD",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
黃小婷,4,1 年前,"整體用餐下來餐點口味還可以，裝潢特別
茶碗蒸一碗160但內容卻一般般，
蛋蛋醬厚切豬排三明治裡面抹花生醬，個人是蠻喜歡的，
玉子雞腿美人茶湯飯味道非常清淡，
白醬烏龍麵好吃，
大和海老炸卷蝦子很大隻很新鮮",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
stone fooder,4,1 年前,"紅甘薄片 韓風橙醋醬 ＄380
配上醃漬過的大蒜片，不嗆口，反而讓尾韻整體風味更好!!

橙意滿滿香汁炸雞＄260
外酥內嫩，但外皮稍厚，擠上炙燒柳橙，口感酸酸甜甜的很好吃而且不會膩-

岩鍋野菇豚骨白湯 ＄280
湯頭非常濃郁，滿滿洋蔥的鮮甜味和奶油香氣，有點像是中秋節必吃的一道，奶油蛤蠣金針菇，適合冷冷的天來上一碗，超滿足！！

1976蝦蝦士鍋炊飯 ＄1080
鮮蝦給的份量還蠻多的，爽脆的口感，加上鮭魚卵顆粒，一口吃下可品嚐到多元豐富的味道❤️米飯也不會軟爛，吸收了吸取海鮮香氣，鮮味十足，非常好吃😋

一進門就被奢華又復古氛圍的包廂吸引，裡面的裝潢通通是日本大正時代「火車」的元素，從門口火車站票亭設計的迎賓吧檯到開放式的調酒吧台都有高級列車才有的質感😌

看詳細介紹👇
IG追蹤食通fooderstone_tw 看完整資訊💕",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
WU WU,3,9 個月前,"2024/05/25
算是創意和食路線吧
食材新鮮、調味👌

然後不知道是桌子太小 還是服務人員太趕
一次是在中途清空盤子時 手滑摔盤
還好不是掉到地上
不過因此撞翻了朋友的清酒🍶
但 也沒有任何表示🤷

一次是服務人員轉身時
撞翻桌上擺示的小告示牌🪧

就以收費標準而言 服務品質跟不上…",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
高豬 恩,5,10 個月前,"不能只有我吃到cp值不高吃裝潢的店
無酒精飲料280
包廂低消3300 、這不是包廂這叫卡坐
包廂是有門的。絕不2訪的店
樓下講的不錯乾脆收門票進來拍裝潢也可",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
SC Wang,5,10 個月前,餐點不錯，價位以日式料理而言，算是合理。。叫了兩份調酒：日光東照宮和舊古河庭院，都很好喝。,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Virginia Syu,2,1 年前,"餐點沒有一道滿意，份量精緻但口味一點都不精緻，點了五道前菜一道主食，出餐第二道順序就先上主食先傻眼一遍，後來每一道份量跟少得可憐的佐醬都另人懷疑萬分，佐醬還不如不要給，炭火雞肉串一點炭香都沒有。

結帳下來兩個人2000出頭沒有吃飽，真的還有其他味道價格更優秀合理的店家可以選擇。

餐廳服務人員態度都很好，都有詢問用餐體驗跟哪裡需要改進，除了餐點有很大進步空間之外，主要接聽電話的主事人（可能是經理）一點都不友善，也不覺得有意願要幫忙顧客，體驗很差，不會再訪。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Y-C Lin,5,6 個月前,"食物都超好吃! 有別於一般的日式餐飲店，有很多在他處嚐不到的菜色。
包廂空間頗大，雖然不是完全隱蔽的包廂，但與其他座位都分開。
服務人員服務的很即時，也都很親切!",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Jer Ren Wu,5,8 個月前,佈置仿日式的餐廳、餐點味道都不錯、畢竟在信義區，價格偏貴但味道不錯。有經過可以試試看,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
王尚平,5,1 年前,"不太有胃口的平日晚上路過
難得有日式料理店寵物友善於是進去用餐

沒想到出乎預料的舒適環境 裝潢低調奢華 真的很有高級列車感  整體來說有些價位但在信義區能有這樣放鬆的環境還不錯的餐點還是挺值得來的

明太子鴨肉金棗茶泡飯-個人很喜歡 口味特別又融合  米偏硬Q 喜歡較軟口感的建議多泡點時間超好吃
蛋黃醬炸豬排三明治- 豬排讚👍 配花生醬也很搭  另外附的蛋黃醬料就比較沒加到分 感覺可以多點酸味比較平衡
鰻魚蛋包飯-蛋包好吃 飯也不錯 鰻魚以及醬料偏甜是台式的醬燒口味 個人覺得一般但另一半喜歡 旁邊的蘿蔔醃的很好

服務親切到位 隨時都有在注意客人用餐狀況 補水收盤子很及時👍

酒單很吸引人  下次會想來試試特調系列",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
俞尚毅,4,7 個月前,"很有特色的餐酒館
味道中上，份量也適中
但真的不便宜😂😂 這次平分下來付了1400元",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
郭志宏,5,1 年前,"西西里豬肉串燒必吃
本來就很喜歡西西里咖啡
沒想到能跟串燒做結合
咖啡粉微微檸檬酸加上超多汁的肉串
上其他主菜都黯然失色
兩串200小貴但值得
抹茶調酒soso,上面想奶蓋的發泡沒有加分
培茶奶還不錯，
鰻魚蛋包飯的鰻魚挺日式道地風味
但蛋包飯就蠻簡單的飯淋醬油加歐姆蛋
吃多容易膩，建議有分食再點
明太子鴨肉湯泡飯不錯，很香很入味
橘子唐揚超普通，玉子燒不適合當前菜
調理的跟蛋糕一模一樣
把玉子燒做成蛋糕也是很猛w
但一樣吃多容易膩，不會想再點
整體空間環境都很舒適，人不會太多",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Pei Pei,2,1 年前,"裝潢很漂亮！
椅子跟桌子距離太近，進出很卡。

食物非常普通
像焦糖鮭魚炙燒，完全沒有炙燒的香氣、鮭魚又很小片、焦糖烤的也不好。 味道完全被美乃滋搶走

有一個牛肉燒（一時忘記名字）裡面就是洋蔥跟牛肉配兩個餐包。 吃起來很像熱炒店的鐵板牛柳，只是肉質比較高級

唯一特別的是餐廳的設計跟酒單非常有創意👍🏼",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Brooke Pan,5,1 年前,我第一次來這裡用餐，感覺他們很用心，我和朋友們相當滿意，服務週到。裝潢也很有氣氛，很有日本復古風。廚師很認真準備餐點，擺盤讓人很有食慾。推薦8月盒火車握壽司、和風山胡椒酸煙魚生，很新鮮好吃！😋😋😋,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
Anthea,5,1 年前,"·輪輪𝟏𝟗𝟕𝟔和食茶酒駅_𝘁𝗮𝗶𝗽𝗲𝗶. 𝗫𝗶𝗻𝘆𝗶。
#台北美食#信義美食#市政府美食

꒰ 大正浪漫の列車餐酒館🇯🇵✨꒱

跟大家介紹近期最滿意的一餐♥
復古的日式懷舊風格 每道餐點都讓我驚艷不已
我們吃的這些品項完全無雷阿(৹ᵒ̴̶̷᷄ ฅᵒ̴̶̷᷅৹)
價位稍高但不論環境和餐點都在水準之上‼️
還有火車包廂的座位🚂💨
跟我來一場日式復古饗宴吧

ะ 看更多台北美食✨ig: anan.foodie

๑⃙⃘ 食物 음식
—mᥱᥒᥙ—
☑魚卵潮汐拌麵—瀨戶內海の章 ᴺᵀ𝟨𝟪𝟢 (推)
☑山海の飯—角煮ft.軟殼蟹 ᴺᵀ𝟦𝟪𝟢
☑蛋蛋醬と厚切豬排三明治 ᴺᵀ𝟤𝟪𝟢(推)
☑炭火西西里豚肉串燒 ᴺᵀ𝟤𝟢𝟢
☑登大人の橙橙柚酪布丁 ᴺᵀ𝟤𝟦𝟢(推)
☑茶系調酒 日光東照宮 ᴺᵀ𝟥𝟪𝟢
☑紅玉桃岩茶 ᴺᵀ𝟣𝟪𝟢(推)

〻魚卵潮汐拌麵、山海の飯〻
請大家務必點拌麵🍜整碗用料非常澎派，用料不僅有魷魚蛤蜊鮮蝦還有滿滿的鮭魚卵，想當鮭魚卵富翁來這間就對了🔥拌麵是搭配煙花女醬，濃郁的醬汁完美的吸附在麵條上，每一口都還吃的到蝦高湯的鮮甜味，我真的愛到不行，會想舔盤的那種好吃😍
我們還有點另一款飯，是三層肉搭配軟殼蟹🦀️三層肉的肥瘦分布均勻、軟殼蟹吃起來是酥脆的！米飯上還有些許滷汁，但相比下我還是愛麵更多一些

〻豬排三明治、西西里豚肉串燒〻
各位朋友✋🏻✨這道三明治很可以，吃過這麼多間豬排三明治，第一次覺得原來可以這麼好吃🤤（曾吃過有些知名的三明治上吸附滿滿血水…）夾層中還有濃郁的花生顆粒醬🥜再搭配超ㄍㄡˊ的蛋黃醬，每一口都是驚喜阿⸜(๑⃙⃘˙ᵕ˙๑⃙⃘)⸝
這間的串燒也很特別，表層撒上滿滿的咖啡粉及些許砂糖，再淋上檸檬片，吃起來爽口但對我來說偏油一些🥹

〻橙橙柚酪布丁〻
這間的布丁吃起來像乳酪蛋糕🍮第一次吃到這麼口感扎實的，旁邊還有幾片風巢造型的柚子皮，搭配一起吃很清爽💕

〻調酒日光東照宮、紅玉桃岩茶〻
我們點了以伏特加為基底的調酒🍸還有淡淡的桂花茶香，店家會將調酒放於透明盒子裡，並注入滿滿的乾冰，外型很吸睛～另外大推這間的茶飲！怎麼可以連茶都這麼獨特，清新的桃香氣和茶香味搭配起來別有一番韻味🫧

๑⃙⃘ 總結결론
整道餐點吃下來，我最推薦的前三名是魚卵潮汐拌麵、豬排三明治、橙橙柚酪布丁，這三道真的太太太好吃了，無法用言語形容(對我來說啦哈哈)，不論餐點、環境都在水準之上，大家有機會可以去吃看看😚",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
wari sai,4,1 年前,"西門町大車輪火車壽司開業至今近50年，初次造訪位於信義區新光三越A11館內的輪輪1976，整體感受與食物評價還不錯，內部裝潢走的是大正豪華列車氛圍，彷彿置身火車包廂內用餐，餐點每道走的多半是精緻小食路線，但整體味道都不錯。

大和海老炸卷，外觀看起來像是一般的炸春捲，一口咬下卻是整隻熱騰騰蝦子的滿足感，搭配現刨的起司與紫洋蔥，口感充滿層次，這道必點無誤。

十貫的壽司箱，擺盤像是一件件的藝術品，每一口下去都充滿驚喜，但海鮮新鮮度來說沒有到非常鮮甜，表現中上。

昭和風布丁與鳳梨冰淇淋甜點，布丁口感綿密還不錯，甜度也不會到死甜，冰品表現中規中矩，但搭配上旁邊的跳跳糖，口感感覺新穎特別。

整體來說是一間創意度蠻高的日式餐館，還有很多看起來不錯的餐點沒吃到，只能期待下次若有造訪再嘗鮮，由於開車酒類也很可惜沒點到，值得二刷的一家店。",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
peggy chen,5,11 個月前,餐點都很不錯且有創意，包廂用餐感覺很像在車廂內很有趣，上菜速度也都很快不會等候太久，重點是每道都好吃！,Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
cathy,4,1 年前,"台北老字號「大車輪」新品牌
裝潢以洋風日式為主
餐廳佈置得像在列車上用餐
座位還分成不同等級的包廂價格

🔸橙意滿滿香汁炸雞
🔸海鮮酪梨最中寶盒
🔸輪輪和牛雜炊
以上三道是相當推薦的餐點
炸雞外酥、裡頭鮮嫩多汁
最中寶盒上桌前會讓你先拍好拍滿
之後再由服務生幫忙分食
這道吃起來很清爽，超級推！

然後千萬不要點酥皮清湯
大雷
酥皮一進去整個爛掉
完全不知道在吃啥

整體來說這間店單價蠻高的
吃過一次就好",Lun Lun1976,ChIJ_Y4vZzKrQjQRcqCqvdGszQQ
